Read times - Voltage  graph;Voltage(V) - Voltage  graph;Read times - Current graph;Current(A) - Current graph;;;;
303;5,113;303;0,3226;;;;
304;5,113;304;0,3226;;;;
305;5,113;305;0,3294;;;;
306;5,113;306;0,3294;;;;
307;5,113;307;0,3243;;;;
308;5,112;308;0,3243;;;;
309;5,112;309;0,3286;;;;
310;5,114;310;0,3286;;;;
311;5,114;311;0,3251;;;;
312;5,113;312;0,3251;;;;
313;5,113;313;0,3292;;;;
314;5,112;314;0,3292;;;;
315;5,112;315;0,3041;;;;
316;5,116;316;0,3041;;;;
317;5,116;317;0,3073;;;;
318;5,115;318;0,3073;;;;
319;5,115;319;0,323;;;;
320;5,112;320;0,323;;;;
321;5,112;321;0,3251;;;;
322;5,112;322;0,3251;;;;
323;5,112;323;0,3247;;;;
324;5,112;324;0,3247;;;;
325;5,112;325;0,3281;;;;
326;5,114;326;0,3281;;;;
327;5,114;327;0,3251;;;;
328;5,113;328;0,3251;;;;
329;5,113;329;0,3285;;;;
330;5,113;330;0,3285;;;;
331;5,113;331;0,3249;;;;
332;5,113;332;0,3249;;;;
333;5,113;333;0,3088;;;;
334;5,118;334;0,3088;;;;
335;5,118;335;0,3049;;;;
336;5,117;336;0,3049;;;;
337;5,117;337;0,3269;;;;
338;5,113;338;0,3269;;;;
339;5,113;339;0,322;;;;
340;5,112;340;0,322;;;;
341;5,112;341;0,3279;;;;
342;5,113;342;0,3279;;;;
343;5,113;343;0,3243;;;;
344;5,112;344;0,3243;;;;
345;5,112;345;0,3283;;;;
346;5,113;346;0,3283;;;;
347;5,113;347;0,3241;;;;
348;5,113;348;0,3241;;;;
349;5,113;349;0,3294;;;;
350;5,113;350;0,3294;;;;
351;5,113;351;0,3041;;;;
352;5,117;352;0,3041;;;;
353;5,117;353;0,309;;;;
354;5,115;354;0,309;;;;
355;5,115;355;0,322;;;;
356;5,114;356;0,322;;;;
357;5,114;357;0,3267;;;;
358;5,113;358;0,3267;;;;
359;5,113;359;0,3245;;;;
360;5,113;360;0,3245;;;;
361;5,113;361;0,3285;;;;
362;5,112;362;0,3285;;;;
363;5,112;363;0,3243;;;;
364;5,113;364;0,3243;;;;
365;5,113;365;0,3279;;;;
366;5,113;366;0,3279;;;;
367;5,113;367;0,3253;;;;
368;5,117;368;0,3253;;;;
369;5,117;369;0,3075;;;;
370;5,117;370;0,3075;;;;
371;5,117;371;0,3061;;;;
372;5,114;372;0,3061;;;;
373;5,114;373;0,3247;;;;
374;5,113;374;0,3247;;;;
375;5,113;375;0,3246;;;;
376;5,113;376;0,3246;;;;
377;5,113;377;0,3267;;;;
378;5,113;378;0,3267;;;;
379;5,113;379;0,3269;;;;
380;5,114;380;0,3269;;;;
381;5,114;381;0,3267;;;;
382;5,113;382;0,3267;;;;
383;5,113;383;0,3269;;;;
384;5,114;384;0,3269;;;;
385;5,114;385;0,3169;;;;
386;5,116;386;0,3169;;;;
387;5,116;387;0,3067;;;;
388;5,117;388;0,3067;;;;
389;5,117;389;0,3232;;;;
390;5,113;390;0,3232;;;;
391;5,113;391;0,3247;;;;
392;5,114;392;0,3247;;;;
393;5,114;393;0,3251;;;;
394;5,113;394;0,3251;;;;
395;5,113;395;0,3273;;;;
396;5,114;396;0,3273;;;;
397;5,114;397;0,3259;;;;
398;5,113;398;0,3259;;;;
399;5,113;399;0,3275;;;;
400;5,114;400;0,3275;;;;
401;5,114;401;0,3255;;;;
402;5,113;402;0,3255;;;;
403;5,113;403;0,3073;;;;
404;5,116;404;0,3073;;;;
405;5,116;405;0,3055;;;;
406;5,116;406;0,3055;;;;
407;5,116;407;0,3235;;;;
408;5,114;408;0,3235;;;;
409;5,114;409;0,3237;;;;
410;5,113;410;0,3237;;;;
411;5,113;411;0,3271;;;;
412;5,113;412;0,3271;;;;
413;5,113;413;0,3261;;;;
414;5,112;414;0,3261;;;;
415;5,112;415;0,3259;;;;
416;5,113;416;0,3259;;;;
417;5,113;417;0,3261;;;;
418;5,113;418;0,3261;;;;
419;5,113;419;0,3264;;;;
420;5,114;420;0,3264;;;;
421;5,114;421;0,309;;;;
422;5,116;422;0,309;;;;
423;5,116;423;0,3053;;;;
424;5,116;424;0,3053;;;;
425;5,116;425;0,3235;;;;
426;5,113;426;0,3235;;;;
427;5,113;427;0,3251;;;;
428;5,114;428;0,3251;;;;
429;5,114;429;0,3254;;;;
430;5,113;430;0,3254;;;;
431;5,113;431;0,3279;;;;
432;5,114;432;0,3279;;;;
433;5,114;433;0,3247;;;;
434;5,112;434;0,3247;;;;
435;5,112;435;0,3273;;;;
436;5,113;436;0,3273;;;;
437;5,113;437;0,3245;;;;
438;5,113;438;0,3245;;;;
439;5,113;439;0,3088;;;;
440;5,117;440;0,3088;;;;
441;5,117;441;0,3037;;;;
442;5,113;442;0,3037;;;;
443;5,113;443;0,3265;;;;
444;5,113;444;0,3265;;;;
445;5,113;445;0,3218;;;;
446;5,113;446;0,3218;;;;
447;5,113;447;0,3279;;;;
448;5,112;448;0,3279;;;;
449;5,112;449;0,3239;;;;
450;5,112;450;0,3239;;;;
451;5,112;451;0,3275;;;;
452;5,112;452;0,3275;;;;
453;5,112;453;0,3241;;;;
454;5,114;454;0,3241;;;;
455;5,114;455;0,3277;;;;
456;5,117;456;0,3277;;;;
457;5,117;457;0,3057;;;;
458;5,118;458;0,3057;;;;
459;5,118;459;0,3222;;;;
460;5,112;460;0,3222;;;;
461;5,112;461;0,3226;;;;
462;5,114;462;0,3226;;;;
463;5,114;463;0,3259;;;;
464;5,112;464;0,3259;;;;
465;5,112;465;0,3258;;;;
466;5,114;466;0,3258;;;;
467;5,114;467;0,3257;;;;
468;5,113;468;0,3257;;;;
469;5,113;469;0,3279;;;;
470;5,114;470;0,3279;;;;
471;5,114;471;0,3247;;;;
472;5,112;472;0,3247;;;;
473;5,112;473;0,3069;;;;
474;5,116;474;0,3069;;;;
475;5,116;475;0,3043;;;;
476;5,115;476;0,3043;;;;
477;5,115;477;0,3247;;;;
478;5,114;478;0,3247;;;;
479;5,114;479;0,3224;;;;
480;5,113;480;0,3224;;;;
481;5,113;481;0,3283;;;;
482;5,114;482;0,3283;;;;
483;5,114;483;0,3249;;;;
484;5,113;484;0,3249;;;;
485;5,113;485;0,329;;;;
486;5,114;486;0,329;;;;
487;5,114;487;0,3249;;;;
488;5,113;488;0,3249;;;;
489;5,113;489;0,3283;;;;
490;5,116;490;0,3283;;;;
491;5,116;491;0,3033;;;;
492;5,116;492;0,3033;;;;
493;5,116;493;0,3083;;;;
494;5,113;494;0,3083;;;;
495;5,113;495;0,3214;;;;
496;5,113;496;0,3214;;;;
497;5,113;497;0,3277;;;;
498;5,114;498;0,3277;;;;
499;5,114;499;0,3247;;;;
500;5,113;500;0,3247;;;;
501;5,113;501;0,3296;;;;
502;5,114;502;0,3296;;;;
503;5,114;503;0,3247;;;;
504;5,113;504;0,3247;;;;
505;5,113;505;0,329;;;;
506;5,113;506;0,329;;;;
507;5,113;507;0,3243;;;;
508;5,116;508;0,3243;;;;
509;5,116;509;0,3081;;;;
510;5,116;510;0,3081;;;;
511;5,116;511;0,3035;;;;
512;5,113;512;0,3035;;;;
513;5,113;513;0,3257;;;;
514;5,113;514;0,3257;;;;
515;5,113;515;0,3228;;;;
516;5,113;516;0,3228;;;;
517;5,113;517;0,3292;;;;
518;5,114;518;0,3292;;;;
519;5,114;519;0,3243;;;;
520;5,114;520;0,3243;;;;
521;5,114;521;0,3285;;;;
522;5,114;522;0,3285;;;;
523;5,114;523;0,3245;;;;
524;5,113;524;0,3245;;;;
525;5,113;525;0,3288;;;;
526;5,118;526;0,3288;;;;
527;5,118;527;0,3043;;;;
528;5,117;528;0,3043;;;;
529;5,117;529;0,3118;;;;
530;5,113;530;0,3118;;;;
531;5,113;531;0,3218;;;;
532;5,113;532;0,3218;;;;
533;5,113;533;0,3277;;;;
534;5,112;534;0,3277;;;;
535;5,112;535;0,3241;;;;
536;5,113;536;0,3241;;;;
537;5,113;537;0,3281;;;;
538;5,112;538;0,3281;;;;
539;5,112;539;0,3241;;;;
540;5,114;540;0,3241;;;;
541;5,114;541;0,329;;;;
542;5,113;542;0,329;;;;
543;5,113;543;0,3247;;;;
544;5,118;544;0,3247;;;;
545;5,118;545;0,3084;;;;
546;5,118;546;0,3084;;;;
547;5,118;547;0,3212;;;;
548;5,113;548;0,3212;;;;
549;5,113;549;0,3255;;;;
550;5,113;550;0,3255;;;;
551;5,113;551;0,3241;;;;
552;5,113;552;0,3241;;;;
553;5,113;553;0,3273;;;;
554;5,113;554;0,3273;;;;
555;5,113;555;0,3259;;;;
556;5,114;556;0,3259;;;;
557;5,114;557;0,3273;;;;
558;5,113;558;0,3273;;;;
559;5,113;559;0,3261;;;;
560;5,114;560;0,3261;;;;
561;5,114;561;0,3073;;;;
562;5,117;562;0,3073;;;;
563;5,117;563;0,3059;;;;
564;5,118;564;0,3059;;;;
565;5,118;565;0,3249;;;;
566;5,113;566;0,3249;;;;
567;5,113;567;0,3234;;;;
568;5,114;568;0,3234;;;;
569;5,114;569;0,3263;;;;
570;5,112;570;0,3263;;;;
571;5,112;571;0,3251;;;;
572;5,113;572;0,3251;;;;
